code,name,date,fullName,avgYld,issueDate,maturity,coupon,payPerYr,compPerYr,durT,mdurT,convT
B618DW,P13台積2B,20240517,台積電 113年度第 2期無擔保普通公司債乙類券,2.1,20240517,20340517,2.1,1,1,9.1446,8.9573,4676.2723
B618DX,P14台積1A,20250725,台積電 114年度第 1期無擔保普通公司債甲類券,1.7,20250328,20300328,1.9,1,1,4.4976,4.4227,1238.1231
B618DY,P14台積1B,20250722,台積電 114年度第 1期無擔保普通公司債乙類券,1.9,20250328,20350328,2.05,1,1,8.849,8.6847,4506.4621
B618DZ,P14台積2A,20250725,台積電 114年度第 2期無擔保普通公司債甲類券,1.7,20250602,20300602,1.92,1,1,4.6769,4.599,1325.0055
B618E1,P14台積2B,20250602,台積電 114年度第 2期無擔保普通公司債乙類券,2.05,20250602,20350602,2.05,1,1,9.1632,8.9799,4693.8449
B618E2,P14台積3A,20250815,台積電 114年度第 3期無擔保普通公司債甲類券,1.66,20250709,20300709,1.92,1,1,4.7209,4.6441,1349.9319
B618E3,P14台積3B,20250709,台積電 114年度第 3期無擔保普通公司債乙類券,2.05,20250709,20350709,2.05,1,1,9.1632,8.9801,4694.0986
B618E4,P14台積4A,20250923,台積電 114年度第 4期無擔保普通公司債甲類券,1.66,20250918,20300918,1.66,1,1,4.8316,4.7529,1385.0236
B618E5,P14台積4B,20250918,台積電 114年度第 4期無擔保普通公司債乙類券,1.73,20250918,20350918,1.73,1,1,9.284,9.1267,4808.6706
B62942,P11佳世達1,20220701,佳世達 111年度第 1次有擔保普通公司債,1.795,20220628,20270628,1.8,1,1,4.8245,4.74,1379.6661
B63109,P10欣興1,20210727,欣興 109年度第 1次無擔保普通公司債,0.65,20210113,20260113,0.68,1,1,4.3984,4.37,1188.9594
B63110,P10欣興2,20250723,欣興 110年度第 1次無擔保普通公司債,1.625,20210504,20260504,0.75,1,1,0.7836,0.7712,67.3264
B63111,P11欣興1,20250605,欣興 111年度第 1次無擔保普通公司債,1.9,20220112,20270112,0.79,1,1,1.6007,1.571,197.9681
B63112,P14欣興1,20250613,欣興 114年度第 1次無擔保普通公司債,2.1,20250423,20300423,2.1,1,1,4.6663,4.5708,1298.396
B63527,P10宏碁1,20230517,宏碁 110年度第 1期無擔保普通公司債,1.5425,20210427,20260427,0.76,1,1,2.9261,2.8818,546.5538
B63528,P10宏碁2,20231017,宏碁 110年度第 2期無擔保普通公司債,1.62,20210826,20260826,0.62,1,1,2.3461,2.3089,384.1014
B63529,P13宏碁1A,20240705,宏碁 113年度第 1期無擔保普通公司債甲券,1.99,20240612,20270612,1.99,1,1,2.8832,2.8272,543.1944
B63530,P13宏碁1B,20240904,宏碁 113年度第 1期無擔保普通公司債乙券,1.97,20240612,20290612,2.05,1,1,4.5802,4.4921,1265.379
B638BD,P10聯電1A,20241217,聯電 110年度第 1期無擔保普通公司債甲券,1.85,20210422,20260422,0.57,1,1,1.3425,1.3182,149.8581
